"SerialNo","ReadingDate","Import Wh Total","Reactive Power Phase B (vars)","Active Power Phase C (Watts)","Voltage Phase A","Voltage PhaseA Maximum","Voltage PhaseB Minimum","Active Power Phase A (Watts)","Voltage PhaseA Minimum","Voltage Phase B","Voltage PhaseC Maximum","Reactive Power Phase C (vars)","Active Power Phase B (Watts)","Voltage PhaseC Minimum","Reactive Power Phase A (vars)","Voltage PhaseB Maximum","Export Wh Total"
 212524150 ,"11/03/2013 23:30:00", 0.1 , 0.245 , 0 , 244.236 , 239.927 , 0.937 , 0 , 242.855 , 1.058 , 26.411 , 0.118 , 0 , 50.008 , 0.04 , 0.847 , 0 
 212524150 ,"11/03/2013 23:40:00",, 0.245 , 0 , 243.524 , 242.174 , 0.937 , 0 , 242.772 , 0.998 , 25.983 , 0.118 , 0 , 49.98 , 0.03 , 0.877 ,
 212524150 ,"11/03/2013 23:50:00",, 0.245 , 0 , 243.679 , 242.36 , 0.937 , 0 , 242.885 , 9.886 , 25.258 , 0.117 , 0 , 49.996 , 0.04 , 0.453 ,
 212524150 ,12/03/2013 , 0.1 , 0.245 , 0 , 243.658 , 241.772 , 0.937 , 0 , 242.638 , 1.028 , 24.543 , 0.118 , 0 , 50.027 , 0.03 , 0.877 , 0 
 212524150 ,"12/03/2013 00:10:00",, 0.245 , 0 , 243.03 , 241.978 , 0.937 , 0 , 242.587 , 1.028 , 24.554 , 0.118 , 0 , 50.008 , 0.03 , 0.907 ,
 212524150 ,"12/03/2013 00:20:00",, 0.245 , 0 , 243.009 , 240.731 , 0.967 , 0 , 242.607 , 1.028 , 25.137 , 0.118 , 0 , 49.98 , 0.03 , 0.877 ,
 212524150 ,"12/03/2013 00:30:00", 0.1 , 0.245 , 0 , 242.813 , 241.906 , 0.967 , 0 , 242.442 , 1.028 , 25.115 , 0.119 , 0 , 49.949 , 0.03 , 0.907 , 0 
 212524150 ,"12/03/2013 00:40:00",, 0.245 , 0 , 243.741 , 242.185 , 0.967 , 0 , 243.071 , 1.028 , 24.609 , 0.118 , 0 , 50.004 , 0.03 , 0.907 ,
 212524150 ,"12/03/2013 00:50:00",, 0.245 , 0 , 243.153 , 241.7 , 0.967 , 0 , 242.277 , 1.058 , 23.577 , 0.119 , 0 , 49.957 , 0.03 , 0.907 ,
 212524150 ,"12/03/2013 01:00:00", 0.08 , 0.245 , 0 , 243.638 , 240.855 , 0.967 , 0 , 242.855 , 1.058 , 22.709 , 0.119 , 0 , 49.949 , 0.03 , 0.907 , 0 
 212524150 ,"12/03/2013 01:10:00",, 0.245 , 0 , 243.751 , 242.236 , 0.967 , 0 , 242.989 , 1.028 , 22.511 , 0.118 , 0 , 50.012 , 0.03 , 0.907 ,
 212524150 ,"12/03/2013 01:20:00",, 0.245 , 0 , 243.628 , 241.339 , 0.967 , 0 , 243.308 , 1.028 , 22.709 , 0.117 , 0 , 49.977 , 0.03 , 0.907 ,
 212524150 ,"12/03/2013 01:30:00", 0.1 , 0.245 , 0 , 244.339 , 243.102 , 0.967 , 0 , 243.834 , 1.028 , 23.027 , 0.118 , 0 , 50.012 , 0.03 , 0.907 , 0 
 212524150 ,"12/03/2013 01:40:00",, 0.245 , 0 , 245.204 , 243.813 , 0.998 , 0 , 244.524 , 1.028 , 23.467 , 0.119 , 0 , 50 , 0.03 , 0.967 ,
 212524150 ,"12/03/2013 01:50:00",, 0.204 , 0 , 245.297 , 242.834 , 0.998 , 0 , 244.689 , 1.058 , 24.324 , 0.119 , 0 , 49.992 , 0.03 , 0.937 ,
